street,suburb,postcode,price_data,price_num,State,nbn_score,price_month,price_month_gbp,price_diff_abs,price_diff_prop
10 Ulva Avenue, Warradale,5046,$440 Per Week,440,NA,NA,1760,985.6000000000001,749.3999999999999,0.43
38 Todville Street, Seaton,5023,$420 PW,420,SA,1,1680,940.8000000000001,794.1999999999999,0.46
2/293 Melbourne Street, North Adelaide,5006,$450 p.w. Furnished Townhouse,450,SA,0,1800,1008.0000000000001,726.9999999999999,0.42
46 Clacton Road, Dover Gardens,5048,$410 per week,410,SA,1,1640,918.4000000000001,816.5999999999999,0.47
39 Press Road, Brooklyn Park,5032,$420 per week,420,SA,0,1680,940.8000000000001,794.1999999999999,0.46
24 Ambleside Road, Hahndorf,5245,$400 /Wk,400,SA,0.67,1600,896.0000000000001,838.9999999999999,0.48
9D Hendrie Street, Morphettville,5043,$450 Per Week,450,SA,0.78,1800,1008.0000000000001,726.9999999999999,0.42
10 St Helen Street, Parkside,5063,$440 per week,440,SA,1,1760,985.6000000000001,749.3999999999999,0.43
4a Ashley Avenue, Ridgehaven,5097,$430 per week,430,SA,0.83,1720,963.2,771.8,0.44
29 Carribean Terrace, Modbury Heights,5092,$315,315,SA,1,1260,705.6,1029.4,0.59
14 Ronald Road, Redwood Park,5097,$350,350,SA,0.83,1400,784.0000000000001,950.9999999999999,0.55
1/212 Trimmer Parade, Seaton,5023,$430 per week,430,SA,1,1720,963.2,771.8,0.44
41 Gladstone Road, Mile End,5031,$420 Per Week,420,NA,NA,1680,940.8000000000001,794.1999999999999,0.46
9 Weston St, West Beach,5024,$370 per week,370,NA,NA,1480,828.8000000000001,906.1999999999999,0.52
3 Kent Avenue, Fulham Gardens,5024,$400-$440,400,NA,NA,1600,896.0000000000001,838.9999999999999,0.48
24 Gaylard Crescent, Redwood Park,5097,$420 per week,420,SA,0.83,1680,940.8000000000001,794.1999999999999,0.46
52 Victoria Street, Mile End,5031,$400 per week,400,NA,NA,1600,896.0000000000001,838.9999999999999,0.48
53 Frogmore Road, Kidman Park,5025,$430 per week,430,SA,0,1720,963.2,771.8,0.44
9 lines Street, Grange,5022,$430 per week,430,NA,NA,1720,963.2,771.8,0.44
96 Jervois Terrace, Marino,5049,$400 per week,400,NA,NA,1600,896.0000000000001,838.9999999999999,0.48
27 Gwynne Street, Firle,5070,$350 Wk,350,SA,0.83,1400,784.0000000000001,950.9999999999999,0.55
96b Onkaparinga Valley Road, Woodside,5244,$415 per week,415,NA,NA,1660,929.6000000000001,805.3999999999999,0.46
